trip_distance,average_total_fare,number_of_trips
0,5.91,517213
1,8.53,5200171
2,12.42,3155886
3,16.08,1503583
4,19.43,792789
5,30.83,477947
6,25.51,301761
7,28.5,199728
8,32.28,152177
9,36.95,151532
10,40.41,133341
11,43.36,100581
12,45.51,63492
13,48.78,37826
14,52.09,27523
15,55.54,24503
16,60.69,33454
17,64.74,60420
18,64.99,67207
19,64.95,40960
20,66.46,23741
21,66.68,16216
22,66.98,8246
23,69.77,3221
24,74.74,1637
25,78.21,1061
26,78.75,908
27,79.79,774
28,75.73,998
29,76.17,716
30,77.43,347
31,85.98,202
32,95.61,165
33,92.49,130
34,85.77,90
35,101.4,93
36,108.91,92
37,110.65,78
38,91.91,38
39,100.63,28
40,91.35,24
41,118.81,21
42,113.38,13
43,104.42,18
44,113.74,11
45,142.67,9
46,68.39,6
47,75.51,3
48,127.71,6
49,85.72,9
50,30.75,6
51,98.45,5
52,196.92,4
53,16.3,1
54,55.47,2
55,31.42,4
56,88.94,6
57,98.23,4
58,31.22,2
59,3.3,1
60,9.74,3
61,27.55,2
62,101.05,2
63,7.13,2
64,3.8,1
65,56.88,4
66,205.8,1
67,4.3,1
68,2.3,2
69,3.8,1
70,20.42,2
71,390.96,1
72,28.3,1
73,25.5,1
75,69.76,1
76,18.8,2
79,56.68,2
80,61.86,1
81,65.0,1
84,460.3,1
85,3.8,1
87,8.63,1
88,0.3,1
91,16.3,1
92,445.3,1
93,33.38,2
94,58.13,1
95,58.13,1
96,33.38,2
97,77.16,1
98,33.8,1
100,19.54,58
101,13.68,7
102,26.05,2
103,25.3,1
110,8.63,1
113,200.3,1
114,5.63,1
124,4.3,1
130,356.63,1
134,75.56,1
136,8.63,1
138,0.3,1
139,5.63,1
143,4.3,1
146,9.63,1
147,8.63,1
150,16.56,1
152,8.63,1
153,-6.88,2
156,4.3,1
157,3.3,1
158,3.8,1
159,8.63,1
161,9.13,1
163,9.63,1
165,63.39,2
166,8.63,1
168,3.8,1
170,44.08,3
171,14.46,1
172,30.72,2
174,4.47,2
175,23.35,3
176,495.05,1
178,54.89,3
179,92.5,2
181,10.38,2
182,497.05,2
183,4.47,2
184,0.3,1
185,72.97,1
186,8.63,2
187,8.63,1
188,58.13,1
189,8.63,1
190,8.63,2
193,3.8,1
194,14.42,1
196,70.46,1
197,8.63,1
198,58.13,1
199,29.37,1
202,11.09,7
203,12.4,1
206,58.13,1
207,4.47,2
211,8.63,1
214,3.8,1
220,4.3,1
255,52.8,1
284,47.78,2
299,3.8,1
301,9.75,1
400,11.76,2
402,14.0,1
403,49.0,1
405,34.8,1
409,19.75,1
442,48.3,1
480,6.3,1
500,27.02,5
502,15.83,2
503,26.8,1
606,3.3,1
620,20.16,1
640,3.8,1
681,11.8,1
700,9.8,1
702,11.8,1
801,14.8,1
804,35.37,1
808,32.13,1
1000,5.8,1
1234,0.3,1
1275,16.8,1
2500,12.96,1
2840,8.8,1
5073,8.3,1
5101,24.3,1
5133,21.96,1
6187,0.3,1
7000,20.0,1
13331,3.3,1
15801,20.3,1
22744,3.8,1
26005,41.0,1
30083,8.93,2
32005,29.76,1
35005,28.8,1
43000,3.8,1
45000,12.3,1
50333,9.3,1
92001,3.3,1
133180,4.3,1
151401,15.3,1
228255,9.3,1
286303,3.8,1
318000,3.8,1
500501,10.8,1
506330,37.8,1
514332,17.16,1
536871,4.3,1
850000,36.14,1
900000,21.83,1
1000000,13.3,1
1001339,52.8,1
1236007,3.8,1
1515967,3.8,1
1531800,22.63,1
1579886,3.8,1
1638798,3.8,1
1672820,3.3,1
2200000,26.8,1
2328400,12.8,1
3180000,26.3,2
3318000,19.15,1
5000000,3.3,1
5003301,14.76,1
5043318,3.8,1
6318000,17.3,1
6710318,4.3,1
7000000,9.8,1
7468004,30.8,1
8000020,11.16,1
8000030,20.8,1
8000160,11.3,1
8005023,11.8,1
8331800,14.8,2
10083318,14.16,1
11800000,25.56,1
11800001,3.3,1
11800002,4.3,1
14331800,4.3,1
14731433,16.3,1
