zone,number_of_pickups
Homecrest,153
Governor's Island/Ellis Island/Liberty Island,9
Corona,473
Bensonhurst West,343
Westerleigh,8
Newark Airport,258
Charleston/Tottenville,5
Douglaston,25
East Concourse/Concourse Village,807
Mount Hope,269
Pelham Parkway,104
Marble Hill,112
Rego Park,1768
Upper East Side South,499576
Dyker Heights,83
Heartland Village/Todt Hill,11
Kew Gardens Hills,303
Rikers Island,27
Bayside,72
Jackson Heights,8748
TriBeCa/Civic Center,258944
Yorkville West,231368
Highbridge,267
Stuy Town/Peter Cooper Village,77997
Flushing Meadows-Corona Park,1073
Bushwick South,7993
Riverdale/North Riverdale/Fieldston,124
Windsor Terrace,705
Old Astoria,10943
Ocean Hill,431
Clinton Hill,8392
West Concourse,1465
Stuyvesant Heights,2666
Broad Channel,2
Upper West Side North,229998
Mariners Harbor,13
East Harlem South,73924
Kensington,1120
Oakland Gardens,15
Springfield Gardens North,44
Crown Heights North,5657
Longwood,105
Lenox Hill East,198350
Hudson Sq,83252
Flushing,764
Norwood,146
Upper East Side North,434617
Columbia Street,9
UN/Turtle Bay South,188189
Prospect Park,761
Starrett City,23
East Elmhurst,1676
Country Club,10
Long Island City/Hunters Point,20401
New Dorp/Midland Beach,19
Whitestone,57
Bedford Park,129
Union Sq,468045
Bloomingdale,41136
Midtown East,401870
Long Island City/Queens Plaza,13986
South Jamaica,447
Downtown Brooklyn/MetroTech,16560
Glen Oaks,96
Sunset Park West,1584
Saint George/New Brighton,38
East Flatbush/Remsen Village,167
Bath Beach,79
Richmond Hill,527
East Harlem North,45742
Washington Heights South,12195
Canarsie,128
Van Cortlandt Village,150
Sutton Place/Turtle Bay North,266408
Sheepshead Bay,77
Grymes Hill/Clifton,9
LaGuardia Airport,245451
Flatlands,168
Hunts Point,142
Jamaica Estates,103
Coney Island,59
Parkchester,164
Astoria,30898
Garment District,186869
Erasmus,303
Cobble Hill,10354
Lower East Side,213394
Madison,85
East Village,452362
Hillcrest/Pomonok,168
Carroll Gardens,9862
Gowanus,3688
Fort Greene,15663
Lincoln Square East,392403
Marine Park/Mill Basin,71
Eastchester,58
Gramercy,296406
Manhattan Valley,105229
Briarwood/Jamaica Hills,873
Middle Village,314
Mott Haven/Port Morris,2711
Midtown South,337196
Co-Op City,46
South Williamsburg,2264
Battery Park City,110635
Cypress Hills,116
Glendale,138
Sunnyside,26231
Elmhurst/Maspeth,2426
Saint Albans,25
College Point,74
Manhattan Beach,38
Queens Village,106
Chinatown,30963
Ridgewood,626
Bedford,6232
Bronxdale,63
Melrose South,878
Midtown North,356680
Steinway,11897
West Brighton,5
West Village,331961
Baisley Park,1106
Brooklyn Heights,16309
Claremont/Bathgate,155
Sunset Park East,187
Breezy Point/Fort Tilden/Riis Beach,3
Bushwick North,4065
Kips Bay,144459
Laurelton,26
Two Bridges/Seward Park,32637
Financial District South,43518
Astoria Park,194
Port Richmond,1
Little Italy/NoLiTa,170479
Cambria Heights,29
Roosevelt Island,1145
Jamaica Bay,3
Prospect-Lefferts Gardens,2120
Midtown Center,443620
East Flushing,64
Marine Park/Floyd Bennett Field,45
Greenwich Village South,206704
World Trade Center,54320
Woodhaven,237
Woodside,8840
Lenox Hill West,355159
East New York/Pennsylvania Avenue,72
Randalls Island,544
Crotona Park East,96
Midwood,262
Belmont,92
Fresh Meadows,84
Flatiron,313681
Alphabet City,61814
Soundview/Bruckner,153
Meatpacking/West Village West,175162
Ocean Parkway South,150
Flatbush/Ditmas Park,1714
Upper West Side South,312315
Auburndale,88
Central Park,177302
Bay Ridge,651
Fordham South,73
Bensonhurst East,71
Spuyten Duyvil/Kingsbridge,329
Maspeth,599
Murray Hill-Queens,78
Inwood,1236
University Heights/Morris Heights,279
Jamaica,902
Bellerose,111
East New York,367
Clinton East,384409
Great Kills,1
South Ozone Park,930
SoHo,130636
Pelham Bay,21
Queensbridge/Ravenswood,4566
Borough Park,218
Schuylerville/Edgewater Park,102
Manhattanville,11593
Arrochar/Fort Wadsworth,14
Williamsburg (North Side),31559
Bay Terrace/Fort Totten,23
East Williamsburg,14701
Queensboro Hill,171
Willets Point,32
Penn Station/Madison Sq West,319137
Hammels/Arverne,11
Central Harlem,43059
Howard Beach,95
Lincoln Square West,131826
Ozone Park,101
Williamsburg (South Side),27274
Murray Hill,487334
West Chelsea/Hudson Yards,198204
Greenwich Village North,244169
Clinton West,159398
Rosedale,60
Battery Park,3220
Gravesend,27
Forest Hills,2897
Allerton/Pelham Gardens,38
East Flatbush/Farragut,118
Forest Park/Highland Park,62
Eltingville/Annadale/Prince's Bay,1
Brownsville,122
Times Sq/Theatre District,484301
Westchester Village/Unionport,145
West Farms/Bronx River,104
East Chelsea,409893
Bronx Park,22
Red Hook,1173
Brighton Beach,57
Far Rockaway,20
Boerum Hill,15842
Kew Gardens,888
Central Harlem North,20437
Springfield Gardens South,412
Arden Heights,1
Stapleton,10
Saint Michaels Cemetery/Woodside,208
Green-Wood Cemetery,47
East Tremont,111
Rockaway Park,8
Van Nest/Morris Park,168
Highbridge Park,160
Crotona Park,3
DUMBO/Vinegar Hill,5831
Financial District North,102144
Hamilton Heights,13759
South Beach/Dongan Hills,8
Williamsbridge/Olinville,92
Prospect Heights,6090
JFK Airport,214697
Woodlawn/Wakefield,69
Brooklyn Navy Yard,430
Pelham Bay Park,12
Morrisania/Melrose,312
Bloomfield/Emerson Hill,17
Seaport,25568
North Corona,663
Park Slope,20494
Soundview/Castle Hill,14
Kingsbridge Heights,236
Morningside Heights,69742
Hollis,26
Yorkville East,182889
Washington Heights North,2802
Greenpoint,12627
Elmhurst,5242
Crown Heights South,1110
Van Cortlandt Park,32
