zone,number_of_pickups
Upper East Side South,14
TriBeCa/Civic Center,6
Yorkville West,7
Upper West Side North,17
Lenox Hill East,3
Hudson Sq,1
Upper East Side North,21
UN/Turtle Bay South,7
Prospect Park,1
Union Sq,16
Bloomingdale,1
Midtown East,9
Sunset Park West,1
East Harlem North,3
Washington Heights South,2
Sutton Place/Turtle Bay North,9
LaGuardia Airport,13
Astoria,1
Garment District,2
Lower East Side,7
Cobble Hill,1
East Village,15
Lincoln Square East,13
Fort Greene,1
Gramercy,14
Manhattan Valley,4
Midtown South,13
Battery Park City,6
South Williamsburg,1
Chinatown,2
Midtown North,13
West Village,15
Brooklyn Heights,1
Kips Bay,9
Financial District South,3
Little Italy/NoLiTa,4
Midtown Center,19
Greenwich Village South,5
Lenox Hill West,11
Alphabet City,2
Flatiron,12
Meatpacking/West Village West,4
Upper West Side South,5
Central Park,7
Clinton East,18
SoHo,8
Queensbridge/Ravenswood,2
Manhattanville,1
Williamsburg (North Side),1
Penn Station/Madison Sq West,20
Central Harlem,2
Lincoln Square West,5
Greenwich Village North,7
Murray Hill,9
West Chelsea/Hudson Yards,8
Williamsburg (South Side),1
Clinton West,5
Forest Hills,1
Times Sq/Theatre District,19
East Chelsea,18
Central Harlem North,1
Financial District North,1
Hamilton Heights,2
JFK Airport,3
Park Slope,1
Morningside Heights,2
Yorkville East,7
Greenpoint,1
