zone,number_of_dropoffs,average_total_fare,average_trip_distance
Homecrest,1927,46.08,13.65
Governor's Island/Ellis Island/Liberty Island,3,20.37,3.57
Corona,3696,26.14,6.84
Bensonhurst West,2862,43.47,12.55
Westerleigh,160,73.85,18.4
Douglaston,846,47.51,13.97
Newark Airport,15960,91.86,17.31
Charleston/Tottenville,47,113.44,30.36
East Concourse/Concourse Village,4323,25.22,6.7
Mount Hope,2160,30.66,8.81
Pelham Parkway,1679,42.1,12.29
Marble Hill,547,33.05,9.38
Rego Park,5338,29.89,7.48
Upper East Side South,424342,11.32,1.68
Dyker Heights,2066,41.45,11.66
Heartland Village/Todt Hill,226,78.46,20.1
Kew Gardens Hills,2983,32.25,8.71
Rikers Island,25,14.77,2.98
Bayside,1547,45.65,13.39
Jackson Heights,22654,22.95,72.45
TriBeCa/Civic Center,233677,14.67,2.74
Yorkville West,233169,13.03,36.69
Highbridge,2382,24.64,6.76
Stuy Town/Peter Cooper Village,77973,13.0,66.89
Flushing Meadows-Corona Park,1166,32.03,8.01
Riverdale/North Riverdale/Fieldston,4046,44.53,12.29
Bushwick South,29013,159.31,16.07
Windsor Terrace,6767,33.1,8.42
Old Astoria,21352,20.58,300.59
West Concourse,4410,23.52,6.21
Ocean Hill,2603,27.14,6.74
Clinton Hill,31536,22.96,5.96
Stuyvesant Heights,16482,23.97,5.39
Freshkills Park,2,71.88,23.92
Broad Channel,51,51.25,15.12
Upper West Side North,238575,13.02,2.35
Mariners Harbor,91,79.28,21.44
Oakland Gardens,854,44.05,13.02
East Harlem South,140022,13.17,134.03
Springfield Gardens North,895,26.33,7.36
Kensington,4403,33.77,9.08
Longwood,1403,26.54,7.18
Crown Heights North,28949,25.73,6.02
Lenox Hill East,203006,13.16,2.23
Hudson Sq,74950,13.54,2.34
Flushing,5183,32.33,8.79
Norwood,1733,43.48,13.17
Upper East Side North,435504,11.62,34.69
Columbia Street,9,22.55,5.31
UN/Turtle Bay South,182115,13.3,2.24
Prospect Park,2784,26.81,6.22
Starrett City,333,37.35,11.01
East Elmhurst,4603,27.42,6.74
Country Club,330,43.58,12.84
