number_of_dropoffs,pickup_zone,dropoff_zone,rank
3,Upper East Side South,Midtown Center,1
2,Upper East Side South,Lenox Hill West,2
2,Upper East Side South,Upper East Side North,2
1,Upper East Side South,Upper West Side North,4
1,Upper East Side South,Lenox Hill East,4
1,Upper East Side South,Upper West Side South,4
1,Upper East Side South,Lincoln Square East,4
1,Upper East Side South,East Harlem North,4
1,Upper East Side South,Union Sq,4
1,Upper East Side South,Garment District,4
2,TriBeCa/Civic Center,Little Italy/NoLiTa,1
1,TriBeCa/Civic Center,Clinton East,2
1,TriBeCa/Civic Center,Meatpacking/West Village West,2
1,TriBeCa/Civic Center,Clinton Hill,2
1,TriBeCa/Civic Center,Murray Hill,2
2,Yorkville West,Upper East Side North,1
1,Yorkville West,Lenox Hill East,2
1,Yorkville West,Seaport,2
1,Yorkville West,Midtown South,2
1,Yorkville West,TriBeCa/Civic Center,2
1,Yorkville West,Lincoln Square West,2
2,Upper West Side North,Lincoln Square West,1
2,Upper West Side North,Yorkville East,1
2,Upper West Side North,Lincoln Square East,1
1,Upper West Side North,Central Park,4
1,Upper West Side North,Lenox Hill East,4
1,Upper West Side North,Upper East Side North,4
1,Upper West Side North,Washington Heights North,4
1,Upper West Side North,Morningside Heights,4
1,Upper West Side North,Clinton West,4
1,Upper West Side North,Manhattan Valley,4
1,Upper West Side North,Upper West Side South,4
1,Upper West Side North,Upper West Side North,4
1,Upper West Side North,Yorkville West,4
1,Upper West Side North,Meatpacking/West Village West,4
1,Hudson Sq,Battery Park City,1
1,Lenox Hill East,Sutton Place/Turtle Bay North,1
1,Lenox Hill East,JFK Airport,1
1,Lenox Hill East,East Harlem North,1
3,Upper East Side North,Midtown East,1
2,Upper East Side North,Upper East Side South,2
2,Upper East Side North,Lenox Hill West,2
2,Upper East Side North,Lincoln Square West,2
2,Upper East Side North,Upper East Side North,2
1,Prospect Park,East Williamsburg,1
2,UN/Turtle Bay South,Upper East Side North,1
1,UN/Turtle Bay South,Murray Hill,2
1,UN/Turtle Bay South,East Chelsea,2
1,UN/Turtle Bay South,Gramercy,2
1,UN/Turtle Bay South,Times Sq/Theatre District,2
1,UN/Turtle Bay South,Garment District,2
4,Union Sq,Greenwich Village North,1
2,Union Sq,West Chelsea/Hudson Yards,2
2,Union Sq,Murray Hill,2
1,Union Sq,JFK Airport,4
1,Union Sq,Lenox Hill West,4
1,Union Sq,Midtown Center,4
1,Union Sq,Eltingville/Annadale/Prince's Bay,4
1,Union Sq,Garment District,4
1,Union Sq,Bloomingdale,4
1,Union Sq,East Chelsea,4
1,Union Sq,Times Sq/Theatre District,4
7,"","",1
1,Bloomingdale,Central Harlem North,1
2,Midtown East,Clinton East,1
1,Midtown East,Upper East Side North,2
1,Midtown East,Midtown East,2
1,Midtown East,Sutton Place/Turtle Bay North,2
1,Midtown East,Midtown Center,2
1,Midtown East,Midtown South,2
1,Midtown East,Flatiron,2
1,Midtown East,Lenox Hill West,2
1,Sunset Park West,Park Slope,1
1,East Harlem North,East Harlem North,1
1,East Harlem North,East Harlem South,1
1,East Harlem North,Midtown South,1
1,Washington Heights South,JFK Airport,1
1,Washington Heights South,Bloomingdale,1
2,Sutton Place/Turtle Bay North,Lincoln Square East,1
1,Sutton Place/Turtle Bay North,Upper East Side North,2
1,Sutton Place/Turtle Bay North,Times Sq/Theatre District,2
1,Sutton Place/Turtle Bay North,Sutton Place/Turtle Bay North,2
1,Sutton Place/Turtle Bay North,UN/Turtle Bay South,2
1,Sutton Place/Turtle Bay North,Lenox Hill West,2
1,Sutton Place/Turtle Bay North,Midtown East,2
1,Sutton Place/Turtle Bay North,Upper West Side North,2
2,LaGuardia Airport,TriBeCa/Civic Center,1
2,LaGuardia Airport,JFK Airport,1
1,LaGuardia Airport,Murray Hill,3
1,LaGuardia Airport,Bellerose,3
1,LaGuardia Airport,Midtown North,3
1,LaGuardia Airport,Lenox Hill West,3
1,LaGuardia Airport,Union Sq,3
1,LaGuardia Airport,UN/Turtle Bay South,3
1,LaGuardia Airport,Clinton East,3
1,LaGuardia Airport,Midtown Center,3
1,Astoria,Steinway,1
1,Cobble Hill,Boerum Hill,1
1,Garment District,Alphabet City,1
1,Garment District,Penn Station/Madison Sq West,1
1,Lower East Side,Central Harlem,1
1,Lower East Side,UN/Turtle Bay South,1
1,Lower East Side,East Harlem South,1
1,Lower East Side,East Village,1
1,Lower East Side,Crown Heights North,1
1,Lower East Side,East Elmhurst,1
1,Lower East Side,Upper West Side South,1
2,East Village,Gramercy,1
1,East Village,Alphabet City,2
