number_of_dropoffs,pickup_zone,dropoff_zone,rank
1,Governor's Island/Ellis Island/Liberty Island,Clinton Hill,1
1,Governor's Island/Ellis Island/Liberty Island,Midtown Center,1
1,Governor's Island/Ellis Island/Liberty Island,Crown Heights North,1
1,Governor's Island/Ellis Island/Liberty Island,TriBeCa/Civic Center,1
1,Governor's Island/Ellis Island/Liberty Island,Kips Bay,1
1,Governor's Island/Ellis Island/Liberty Island,Lower East Side,1
1,Governor's Island/Ellis Island/Liberty Island,Gramercy,1
1,Governor's Island/Ellis Island/Liberty Island,Stuy Town/Peter Cooper Village,1
49,Homecrest,Homecrest,1
17,Homecrest,Midwood,2
8,Homecrest,Brighton Beach,3
7,Homecrest,Bensonhurst West,4
6,Homecrest,Flatbush/Ditmas Park,5
57,Corona,Corona,1
52,Corona,Elmhurst,2
33,Corona,Jackson Heights,3
32,Corona,North Corona,4
16,Corona,Forest Hills,5
217,Bensonhurst West,Bensonhurst West,1
11,Bensonhurst West,Bay Ridge,2
9,Bensonhurst West,Flatlands,3
8,Bensonhurst West,Bensonhurst East,4
7,Bensonhurst West,Bath Beach,5
7,Bensonhurst West,Dyker Heights,5
2,Westerleigh,Westerleigh,1
1,Westerleigh,Grymes Hill/Clifton,2
1,Westerleigh,West Brighton,2
1,Westerleigh,Elmhurst,2
1,Westerleigh,Great Kills,2
1,Westerleigh,Union Sq,2
1,Westerleigh,Stapleton,2
1,Charleston/Tottenville,LaGuardia Airport,1
1,Charleston/Tottenville,East Elmhurst,1
1,Charleston/Tottenville,Murray Hill,1
1,Charleston/Tottenville,Charleston/Tottenville,1
14,Douglaston,Douglaston,1
1,Douglaston,Upper East Side North,2
1,Douglaston,JFK Airport,2
1,Douglaston,Murray Hill,2
1,Douglaston,East Flatbush/Remsen Village,2
1,Douglaston,Queens Village,2
1,Douglaston,Rosedale,2
1,Douglaston,Crown Heights North,2
226,Newark Airport,Newark Airport,1
3,Newark Airport,TriBeCa/Civic Center,2
2,Newark Airport,Upper East Side North,3
1,Newark Airport,Midtown Center,4
1,Newark Airport,Greenwich Village North,4
1,Newark Airport,Corona,4
1,Newark Airport,Canarsie,4
1,Newark Airport,JFK Airport,4
1,Newark Airport,Midtown North,4
1,Newark Airport,UN/Turtle Bay South,4
1,Newark Airport,Long Island City/Hunters Point,4
1,Newark Airport,Clinton East,4
118,East Concourse/Concourse Village,East Concourse/Concourse Village,1
66,East Concourse/Concourse Village,Mott Haven/Port Morris,2
61,East Concourse/Concourse Village,Central Harlem North,3
50,East Concourse/Concourse Village,West Concourse,4
37,East Concourse/Concourse Village,Highbridge,5
25,Mount Hope,Mount Hope,1
22,Mount Hope,West Concourse,2
20,Mount Hope,University Heights/Morris Heights,3
15,Mount Hope,East Concourse/Concourse Village,4
11,Mount Hope,Washington Heights South,5
10,Pelham Parkway,Pelham Parkway,1
8,Pelham Parkway,Bronxdale,2
7,Pelham Parkway,Belmont,3
6,Pelham Parkway,Van Nest/Morris Park,4
5,Pelham Parkway,Eastchester,5
5,Pelham Parkway,Co,5
25,Marble Hill,Inwood,1
14,Marble Hill,Washington Heights North,2
13,Marble Hill,Washington Heights South,3
8,Marble Hill,Van Cortlandt Village,4
5,Marble Hill,Kingsbridge Heights,5
202,Rego Park,Elmhurst,1
178,Rego Park,Forest Hills,2
162,Rego Park,Rego Park,3
74,Rego Park,Jackson Heights,4
64,Rego Park,Woodside,5
14,Dyker Heights,Bay Ridge,1
13,Dyker Heights,Dyker Heights,2
5,Dyker Heights,Sunset Park West,3
5,Dyker Heights,Bensonhurst East,3
4,Dyker Heights,Bensonhurst West,5
4,Heartland Village/Todt Hill,Heartland Village/Todt Hill,1
1,Heartland Village/Todt Hill,Midtown South,2
1,Heartland Village/Todt Hill,Gramercy,2
1,Heartland Village/Todt Hill,Chinatown,2
1,Heartland Village/Todt Hill,Stapleton,2
1,Heartland Village/Todt Hill,Bloomfield/Emerson Hill,2
1,Heartland Village/Todt Hill,Penn Station/Madison Sq West,2
58521,Upper East Side South,Upper East Side North,1
48822,Upper East Side South,Upper East Side South,2
29963,Upper East Side South,Lenox Hill West,3
29854,Upper East Side South,Midtown Center,4
28649,Upper East Side South,Midtown East,5
107,Kew Gardens Hills,Forest Hills,1
31,Kew Gardens Hills,Kew Gardens Hills,2
15,Kew Gardens Hills,Briarwood/Jamaica Hills,3
12,Kew Gardens Hills,Jamaica,4
10,Kew Gardens Hills,Kew Gardens,5
23,Rikers Island,Rikers Island,1
1,Rikers Island,Central Harlem,2
1,Rikers Island,Union Sq,2
1,Rikers Island,Central Park,2
26,Bayside,Bayside,1
